NO,TAHUN,BUKU,JUDUL CERITA,DAPAT DILIHAT PADA,DATASET KE-,,SUMBER BERITA
1,2011,PLBJ Kelas V,Cerita Murtado Macan Kemayoran,Folder Kelas Gereflekter,1 - 3,,https://news.detik.com/berita/1891124/sebut-istri-simpanan-di-buku-sd-media-kreasi-akui-kurang-teliti
2,2011,Buku LKS PLBJ Kelas II,Bang Maman dari Kali Pasir,,4,,https://nasional.tempo.co/read/495309/pelajaran-porno-anak-gembala-dan-induk-srigala/full&view=ok
3,2013,Buku Pelajaran Kelas VI SD,Anak Gembala dan Induk Serigala,,5 - 9,,https://daerah.sindonews.com/read/1061145/23/miris-buku-sd-ini-berisi-kalimat-yang-memperbolehkan-jadi-pelacur-1447342662
4,2015,Insan Bermartabat: Sehat Itu Penting,,,10,,https://nasional.republika.co.id/berita/nasional/umum/17/02/22/olqphq383-psikolog-buku-aku-belajar-mengendalikan-diri-tidak-tepat-sasaran
5,2017,Seri Buku Cerita: Aku Berani Tidur Sendiri,Aku Belajar Mengendalikan Diri,,"13, 14",,https://news.detik.com/berita/d-3547378/orang-tua-keluhkan-konten-dewasa-di-buku-si-kabayan-super-kocak
6,2017,Si Kabayan Super Kocak,Kabayan Jadi Dukun,,"11, 12",,
7,2017,Buku Pelajaran Tematik Kurikulum 2013 revisi tahun 2017 Kelas IV Tema 8 - Daerah Tempat Tinggalku,Kasuari dan Dara Mahkota,Folder Kelas Non Gereflekter,1 - 5,,
,,,Kisah Putri Tangguk,,6 - 12,,
,,,Si Pitung,,13 - 18,,
,,,Roro Jonggrang,,19 - 23,,
,,,Terjadinya Selat Bali,,24 - 30,,
,,,Kali Gajah Wong,,31 - 38,,
,,,Caadara,,39 - 44,,
,,,Asal Usul Burung Cendrawasih,,45 - 48,,
,,,Bangga Terhadap Tempat Tinggalku,,49 - 52,,
,,,Angsa dan Telur Emas Aesop,,53 - 55,,
,,,Nelayan dan Ikan Mas,,56 - 62,,
,,,Keragaman Karakteristik Individu,,63 - 70,,
,,,Kendi Emas dan Ular,,71 - 74,,
,,,Taman Rumah Pohon,,75 - 83,,
,,,Kebaikan Tukang Bakso,,84 - 92,,
,,,Petani Jagung yang Cerdik,,93 - 98,,
,,,Bangga Hasil Keringat Ayah,,99 - 107,,
